発表日,非公表,10歳未満,10,20,30,40,50,60,70,80,90歳以上,計
2020-03-01,0,0,0,0,0,1,0,0,0,0,0,1
2020-03-02,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,2,0,0,0,0,0,2
2020-03-04,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,1,0,0,0,0,1
2020-03-06,0,0,0,0,0,3,1,0,0,0,0,4
2020-03-07,0,0,0,0,0,1,0,0,0,1,0,2
2020-03-08,0,0,0,0,0,0,1,0,0,1,0,2
2020-03-09,0,0,0,0,1,1,1,0,0,1,0,4
2020-03-10,0,0,0,1,0,2,1,1,3,1,0,9
2020-03-11,0,0,0,2,1,2,1,2,3,1,0,12
2020-03-12,0,0,0,0,0,1,2,1,3,1,1,9
2020-03-13,0,0,0,0,1,2,3,0,2,2,0,10
2020-03-14,0,0,0,2,0,0,4,1,1,3,0,11
2020-03-15,0,0,0,0,0,1,2,0,1,6,1,11
2020-03-16,0,0,0,0,0,1,1,0,1,1,0,4
2020-03-17,0,0,0,0,0,1,1,0,1,1,0,4
2020-03-18,0,0,0,0,1,0,1,0,2,1,0,5
2020-03-19,0,0,0,0,0,0,1,0,0,1,0,2
2020-03-20,0,0,0,1,0,0,0,2,2,3,0,8
2020-03-21,0,0,0,0,0,1,0,1,1,2,1,6
2020-03-22,0,0,0,0,0,1,0,1,2,0,0,4
2020-03-23,0,0,0,0,1,0,0,0,0,1,0,2
2020-03-24,0,0,0,1,0,1,0,0,1,2,0,5
2020-03-25,0,0,0,1,0,0,0,0,0,0,0,1
2020-03-26,0,0,0,0,0,0,0,0,1,0,0,1
2020-03-27,0,0,1,0,1,0,1,0,0,0,0,3
2020-03-28,0,0,0,0,1,1,1,0,0,0,0,3
2020-03-29,0,0,0,1,1,0,0,3,2,0,0,7
2020-03-30,0,0,0,2,1,0,1,0,0,0,0,4
2020-03-31,0,0,0,3,2,2,0,3,1,0,0,11
2020-04-01,0,0,2,2,2,1,1,6,0,0,0,14
2020-04-02,0,0,0,2,0,1,2,1,1,0,0,7
2020-04-03,0,0,0,3,1,0,1,1,0,0,0,6
2020-04-04,0,0,1,4,2,2,2,3,1,0,0,15
2020-04-05,0,0,0,2,0,5,2,3,1,0,0,13
2020-04-06,0,0,0,2,0,2,1,1,0,0,0,6
2020-04-07,0,0,1,2,3,6,3,2,0,3,0,20
2020-04-08,0,0,3,1,5,2,6,2,0,0,0,19
2020-04-09,0,1,2,6,7,7,6,4,4,2,0,39
2020-04-10,0,0,1,2,8,8,7,2,0,1,0,29
2020-04-11,0,0,1,9,7,11,9,1,4,0,0,42
2020-04-12,0,1,1,2,5,3,2,2,0,1,0,17
2020-04-13,0,0,1,2,1,1,4,0,0,0,0,9
2020-04-14,0,3,2,2,2,3,3,2,2,0,0,19
2020-04-15,0,1,2,4,0,4,4,3,1,0,1,20
2020-04-16,0,0,0,5,2,11,6,5,2,0,0,31
2020-04-17,1,0,4,5,3,2,5,1,2,3,1,27
2020-04-18,0,0,1,3,4,4,4,3,1,1,0,21
2020-04-19,0,0,0,2,1,2,3,0,2,1,0,11
2020-04-20,0,0,1,3,0,1,4,1,0,1,0,11
2020-04-21,0,0,0,3,3,4,5,2,2,0,0,19
2020-04-22,0,0,0,4,4,1,6,0,1,0,1,17
2020-04-23,0,0,3,1,0,3,5,3,2,2,1,20
2020-04-24,0,0,0,4,4,1,2,1,9,3,1,25
2020-04-25,0,0,1,2,1,3,2,3,2,0,1,15
2020-04-26,0,0,0,1,3,3,0,0,0,2,0,9
2020-04-27,0,0,0,0,0,1,0,0,0,0,0,1
2020-04-28,0,3,0,0,3,1,0,0,0,0,0,7
2020-04-29,0,0,0,0,0,0,0,1,3,1,1,6
2020-04-30,0,0,0,1,0,0,2,0,0,0,0,3
2020-05-01,0,0,0,0,2,0,1,1,0,1,0,5
2020-05-02,0,0,0,1,2,0,0,1,0,0,0,4
2020-05-03,0,3,0,5,0,2,2,0,0,0,0,12
2020-05-04,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-05,0,0,0,0,3,0,1,0,2,0,0,6
2020-05-06,0,0,0,1,1,0,0,0,0,1,0,3
2020-05-07,0,0,0,3,0,0,0,0,0,0,0,3
2020-05-08,0,0,0,0,0,0,1,0,0,0,0,1
2020-05-09,0,0,0,2,1,0,1,3,0,0,1,8
2020-05-10,0,1,0,2,1,0,1,0,0,0,0,5
2020-05-11,0,0,0,0,0,0,0,0,1,0,0,1
2020-05-12,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-13,0,0,0,0,0,1,0,0,2,0,0,3
2020-05-14,0,0,0,0,1,0,0,0,0,0,0,1
2020-05-15,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-16,0,0,0,0,0,0,0,0,0,0,1,1
2020-05-17,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-18,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-19,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-20,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-21,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-22,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-23,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-24,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-25,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-26,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-27,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-28,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-29,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-30,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-31,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-01,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-02,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-03,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-04,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-05,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-06,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-07,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-08,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-09,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-10,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-11,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-12,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-13,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-14,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-15,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-16,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-17,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-18,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-19,0,0,0,0,1,0,0,0,0,0,0,1
2020-06-20,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-21,0,0,0,1,0,0,1,0,0,0,0,2
2020-06-22,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-23,0,0,0,0,0,0,1,0,0,0,0,1
2020-06-24,0,0,0,1,0,0,0,0,0,0,0,1
2020-06-25,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-26,0,0,0,1,0,0,0,0,0,0,0,1
2020-06-27,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-28,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-29,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-30,0,0,0,0,0,0,0,1,0,0,0,1
2020-07-01,0,0,1,1,0,0,0,0,0,0,0,2
2020-07-02,0,0,1,0,0,0,0,0,0,0,0,1
2020-07-03,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-04,0,0,0,1,0,0,0,0,0,0,0,1
2020-07-05,0,0,0,1,1,0,0,0,0,0,0,2
2020-07-06,0,0,0,1,0,3,0,0,0,0,0,4
2020-07-07,0,0,0,1,0,0,0,0,0,0,0,1
2020-07-08,0,0,0,0,1,1,1,0,0,0,0,3
2020-07-09,0,0,0,1,0,0,0,1,0,0,0,2
2020-07-10,0,0,0,2,1,0,1,0,0,0,0,4
2020-07-11,0,0,3,1,0,0,0,1,0,0,0,5
2020-07-12,0,0,0,3,2,1,0,0,0,0,0,6
2020-07-13,0,0,0,1,0,0,0,0,0,0,0,1
2020-07-14,0,0,2,5,1,0,1,0,0,0,0,9
2020-07-15,0,0,2,7,1,1,0,0,1,0,0,12
2020-07-16,0,0,4,6,0,3,1,2,0,0,1,17
2020-07-17,0,0,0,12,3,3,2,0,3,1,0,24
2020-07-18,0,0,1,7,2,0,1,0,2,0,0,13
2020-07-19,1,2,1,9,1,4,2,0,1,0,0,21
2020-07-20,0,0,0,2,2,1,0,1,1,0,0,7
2020-07-21,0,0,0,9,1,0,1,1,0,0,0,12
2020-07-22,0,2,2,17,4,3,2,0,0,0,0,30
2020-07-23,0,2,3,17,3,3,2,3,1,1,0,35
2020-07-24,0,1,3,7,3,1,6,2,0,0,0,23
2020-07-25,0,2,5,7,2,2,3,2,0,1,0,24
2020-07-26,1,0,5,17,4,7,3,6,3,3,0,49
2020-07-27,0,0,0,3,4,2,1,2,0,0,0,12
2020-07-28,0,0,2,6,11,6,4,1,2,1,0,33
2020-07-29,1,5,2,14,3,9,6,5,0,1,0,46
2020-07-30,0,3,2,22,11,4,5,2,3,1,0,53
2020-07-31,0,0,6,26,6,13,7,1,3,0,0,62
2020-08-01,0,1,0,13,4,4,5,2,2,0,1,32
2020-08-02,0,3,7,18,6,5,6,7,7,1,0,60
2020-08-03,0,1,0,12,4,2,4,1,2,0,1,27
2020-08-04,0,3,4,11,4,2,3,3,0,2,0,32
2020-08-05,0,0,4,15,6,10,7,2,5,3,0,52
2020-08-06,1,1,5,25,2,6,9,6,4,2,0,61
2020-08-07,0,1,7,19,5,7,6,2,2,0,0,49
2020-08-08,0,4,2,16,5,10,8,6,4,0,0,55
2020-08-09,0,1,2,12,9,9,6,4,5,0,0,48
2020-08-10,0,0,1,3,5,4,1,1,2,2,7,26
2020-08-11,0,5,2,7,5,5,3,3,0,0,0,30
2020-08-12,0,0,2,2,6,6,5,3,4,2,6,36
2020-08-13,0,2,4,13,4,7,7,6,2,1,2,48
2020-08-14,0,0,1,7,2,5,7,5,2,2,2,33
2020-08-15,0,2,5,9,10,7,10,5,3,2,0,53
2020-08-16,0,1,3,11,5,8,5,2,0,2,0,37
2020-08-17,0,2,3,3,3,7,2,0,2,1,1,24
2020-08-18,0,0,1,3,4,6,4,2,4,1,0,25
2020-08-19,0,2,3,8,9,8,9,3,4,2,1,49
2020-08-20,0,1,3,7,3,8,7,1,3,1,0,34
2020-08-21,0,3,1,4,6,10,9,4,1,1,0,39
2020-08-22,0,3,2,4,11,10,1,0,2,0,0,33
2020-08-23,0,2,0,2,2,5,7,1,3,1,1,24
2020-08-24,0,0,3,1,1,1,0,1,0,1,0,8
2020-08-25,0,0,1,6,4,2,6,3,1,0,0,23
2020-08-26,0,2,0,2,5,5,4,4,2,3,1,28
2020-08-27,0,1,4,1,4,1,5,1,4,1,0,22
2020-08-28,0,2,3,4,3,3,5,1,2,2,1,26
2020-08-29,0,2,0,4,4,4,3,1,1,1,0,20
2020-08-30,0,0,1,6,2,1,1,2,0,0,0,13
2020-08-31,0,0,0,3,1,1,2,1,0,0,0,8
2020-09-01,0,1,1,6,4,0,3,2,1,2,1,21
2020-09-02,0,0,0,0,1,4,1,1,0,0,0,7
2020-09-03,0,0,0,1,5,2,1,2,1,0,1,13
2020-09-04,0,0,0,2,3,2,2,1,1,1,1,13
2020-09-05,0,0,2,3,1,0,0,1,0,2,0,9
2020-09-06,0,0,0,2,2,2,5,3,0,1,1,16
2020-09-07,0,0,0,2,0,2,1,0,1,0,0,6
2020-09-08,0,1,1,1,2,7,5,0,0,0,1,18
2020-09-09,0,0,1,3,7,2,3,3,3,0,0,22
2020-09-10,0,1,1,5,2,3,7,1,1,0,0,21
2020-09-11,0,1,0,1,4,1,5,2,0,0,0,14
2020-09-12,0,2,0,4,3,3,3,2,0,3,0,20
2020-09-13,0,1,3,3,3,1,2,0,1,1,0,15
2020-09-14,0,1,0,2,1,0,1,2,1,0,0,8
2020-09-15,0,0,1,1,5,5,0,3,3,5,0,23
2020-09-16,0,0,0,4,2,1,4,2,4,2,1,20
2020-09-17,0,1,1,1,3,4,3,1,2,0,0,16
2020-09-18,0,1,0,4,4,0,1,1,1,0,0,12
2020-09-19,0,1,0,5,4,3,1,6,0,1,0,21
2020-09-20,0,1,1,2,0,1,0,0,0,0,0,5
2020-09-21,0,0,20,2,0,1,2,2,0,0,0,27
2020-09-22,0,1,4,0,2,3,2,1,0,0,0,13
2020-09-23,0,0,0,1,0,0,0,0,0,0,0,1
2020-09-24,0,1,0,1,0,1,1,2,1,1,0,8
2020-09-25,0,0,1,3,4,1,0,2,1,0,0,12
2020-09-26,0,0,0,11,3,3,4,0,0,1,0,22
2020-09-27,0,2,3,2,3,2,1,0,3,0,0,16
2020-09-28,0,0,0,0,4,0,1,3,1,0,1,10
2020-09-29,0,1,1,2,3,2,1,2,3,1,2,18
2020-09-30,0,1,1,5,1,3,2,1,0,1,0,15
2020-10-01,0,1,1,7,3,3,4,1,0,1,0,21
2020-10-02,0,3,2,8,6,6,3,1,0,0,0,29
2020-10-03,0,1,1,4,0,0,0,5,3,1,0,15
2020-10-04,0,0,0,7,0,3,3,1,1,0,0,15
2020-10-05,0,0,1,1,1,2,1,0,1,0,0,7
2020-10-06,0,0,2,3,1,2,4,1,3,2,0,18
2020-10-07,0,0,1,4,4,3,1,2,1,0,0,16
2020-10-08,0,0,0,6,2,6,4,2,6,1,0,27
2020-10-09,0,0,2,6,1,2,2,0,2,1,0,16
2020-10-10,0,0,0,2,0,1,3,2,4,0,0,12
2020-10-11,0,0,2,1,2,0,2,0,3,2,0,12
2020-10-12,0,0,0,1,1,2,1,2,1,0,0,8
2020-10-13,0,0,1,3,1,1,2,2,3,0,0,13
2020-10-14,0,0,0,2,1,5,4,3,2,1,1,19
2020-10-15,0,0,1,1,0,0,3,3,1,4,1,14
2020-10-16,1,0,1,1,1,2,6,2,2,1,1,18
2020-10-17,0,0,1,3,5,2,3,1,1,1,0,17
2020-10-18,0,0,0,2,2,3,3,1,2,0,0,13
